name,director,rating,category,duration,tag,lables
同住一屋,彼得·叶茨,8.2,剧情/喜剧,108,美国/JulianneMoore/亲情/喜剧/剧情/美国电影/1995/温情,1149
国王不死,克里斯蒂安·莱沃,7.5,剧情,110,丹麦/人性/丹麦电影/Dogma95/dogme95/2000/国王不死/KristianLevring,847
大展猴威,罗伯特·文斯,7.9,喜剧/家庭/运动,93,喜剧/动物/加拿大/童年/电影/美国电影/温馨/美国,2065
血腥星期天,保罗·格林格拉斯,8.1,剧情/历史/战争,107,爱尔兰/英国/政治/2002/历史/金熊奖/英国电影/PaulGreengrass,405
迫在眉梢,尼克·卡萨维茨,8.5,剧情/惊悚/家庭/犯罪,116,亲情/丹泽尔·华盛顿/美国/剧情/美国电影/溫情/2002/DenzelWashington,1944
单亲相爱的日子,帕维乌·帕夫利科夫斯基,7.5,剧情/爱情,73,英国/英国电影/PaulPavlikovsky/UK/單親相愛的日子/BBC/2000/剧情,1291
杀手的童贞,巴贝特·施罗德,7.2,剧情/同性/犯罪,101,哥伦比亚/同志/暴力/西班牙/同性/gay/杀手的童贞/南美电影,2222
蝴蝶的舌头,何塞·路易斯·奎尔达,8.8,剧情/战争,92,西班牙/西班牙电影/儿童/成长/剧情/战争/蝶之舌/电影,932
夜奔,徐立功/尹祺,8.0,剧情/爱情/同性,119,黄磊/刘若英/台湾/同志/文艺/爱情/夜奔/台湾电影,862
美莲娜的故事,赫拉多·埃雷罗,8.6,剧情,109,西班牙/剧情/法国/法国电影/欧洲电影/生活/欧洲/电影,2037
生死谍变,姜帝圭,7.4,剧情/动作/爱情/悬疑/惊悚/犯罪,125,韩国/韩国电影/动作/崔岷植/姜帝圭/宋康昊/韩石圭/爱情,1236
八月照相馆,许秦豪,7.9,剧情/爱情,97,韩国/爱情/韩国电影/文艺/八月照相馆/许秦豪/沈银河/电影,1567
夏日的庭院,相米慎二,8.0,剧情/喜剧,0,日本/相米慎二/日本电影/成长/儿童/1994/日影/1990s,842
日本的悲剧,木下惠介,8.1,剧情,116,木下惠介/日本/日本电影/1953/1950s/黑白/剧情/亲情,1918
母狗,让·雷诺阿,7.8,剧情,91,让·雷诺阿/法国/法国电影/诗意现实主义/1931/JeanRenoir/1930s/Jean_Renoir,52
豹族,雅克·特纳,7.3,悬疑/恐怖,73,美国/恐怖/惊悚/1940s/1942/悬疑/美国电影/Jacques_Tourneur,323
侠女,胡金铨,8.5,剧情/动作/武侠/古装,179,胡金铨/武侠/台湾/香港/动作/香港电影/徐枫/侠女,1282
的士布鲁斯,帕维尔·龙金,8.0,剧情,110,俄罗斯/1990/PavelLungin/苏俄/苏联/苏联电影/1990s/法国,718
亚特兰蒂斯之心,斯科特·希克斯,8.1,剧情/悬疑/惊悚,101,安东尼·霍普金斯/美国/成长/悬疑/斯蒂芬·金/剧情/美国电影/AnthonyHopkins,925
青春梦里人,无,7.3,剧情/爱情/同性,100,法国/同志/青春/Gay/法国电影/爱情/同性/青春梦里人,1234
不简单的任务,罗伯·斯茨,7.2,剧情/喜剧,101,澳大利亚/2000/喜剧/阿波罗计划/澳大利亚电影/剧情/电影资料馆/Documentary,314
人造天堂,青山真治,8.3,剧情,217,日本/青山真治/日本电影/宫崎葵/2000/剧情/人造天堂/宮崎あおい,1157
触不到的恋人,李铉升,7.9,爱情/奇幻,105,爱情/韩国/全智贤/韩国电影/触不到的恋人/唯美/李政宰/电影,2269
天使的约定,无,8.6,剧情,86,法国/法国电影/温情/儿童/天使的约定/成长/剧情/2000,1478
他们微笑的样子,吉安尼·阿梅利奥,7.9,剧情,124,意大利/意大利电影/金狮奖/1998/剧情/GianniAmelio/他们微笑的样子/Gianni_Amelio,1828
大河之歌,萨蒂亚吉特·雷伊,8.7,剧情,110,印度/萨蒂亚吉特·雷伊/印度电影/剧情/1950s/经典/SatyajitRay/黑白,891
劫后余生,弗朗西斯科·罗西,7.9,剧情/历史/战争,125,二战/意大利/战争/法国/战争和反思/德国/意大利电影/Francesco_Rosi,1366
美味关系,桑德拉·内特尔贝克,7.2,剧情/喜剧/爱情,109,爱情/美食电影/德国/美食/喜剧/美味关系/意大利/德国电影,414
从容的快板,布鲁诺·伯茨多/毛里齐奥·尼凯蒂,8.7,喜剧/动画/音乐/奇幻,85,动画/意大利/音乐/动画短片/Bruno_Bozzetto/意大利电影/动画片/BrunoBozzetto,2084
征服钱海,无,7.2,剧情/喜剧,90,美国电影/美国/李欣频荐/Kevinspacey/喜剧/李欣频推荐/2000/电影,1614
生命的圆圈,贾法·帕纳西,7.5,剧情,90,伊朗/伊朗电影/女性/贾法·帕纳西/金狮奖/2000/Jafar_Panahi/JafarPanahi,526
逐梦郁金香,无,7.5,剧情/喜剧/爱情,114,意大利/意大利电影/女性/爱情/2000/电影/喜剧/Italy,410
长路将尽,理查德·艾尔,7.7,剧情/爱情/传记,91,英国/传记/KateWinslet/爱情/JudiDench/英国电影/2001/美国,1822
蜘蛛侠,山姆·雷米,7.7,动作/科幻/冒险,121,科幻/美国/蜘蛛侠/动作/漫画改编/美国电影/2002/超级英雄,440
美丽坏东西,斯蒂芬·弗雷斯,7.5,剧情/惊悚/犯罪,97,奥黛丽·塔图/英国/AudreyTautou/剧情/英国电影/2002/法国/犯罪,912
摇摆乐时代,乔治·史蒂文斯,7.7,喜剧/爱情/歌舞,103,美国/歌舞/歌舞片/1936/1930s/FredAstaire/美国电影/喜剧,2253
海洋对岸,沃尔特·塞勒斯,7.9,剧情/动作/爱情/惊悚/犯罪,101,巴西/巴西电影/沃尔特·塞勒斯/葡萄牙/1996/拉美/WalterSalles/Walter_Salles,2220
铁道员,降旗康男,8.4,剧情/家庭,112,日本/剧情/温情/1999/人生/亲情/经典/文艺,823
伏尔泰的错误,阿布戴·柯西胥,7.6,剧情,130,法国/阿布戴·柯西胥/法国电影/AbdelKechiche/2000/2000s/社会/移民,2342
冒充者,罗纳德·尼姆,7.4,剧情/战争,103,英国/二战/间谍/战争/英国电影/谍战/1956/剧情,1518
